vec,deltachi,delta,deltahmix,deltasmix,phase
6.97,0.13,6.4,-9.38,14.35,SS+IM
6.75,0.127,5.64,-9.32,12.9,SS
7.27,0.133,6.38,-14.39,15.55,SS
6.6,0.266,10.34,-27.36,13.38,SS
7.23,0.131,6.36,-16.42,14.23,SS
7.7,0.12,5.38,-11.94,12.91,SS+IM
7.47,0.11599999999999999,5.18,-10.58,13.31,SS+IM
6.67,0.141,7.22,-21.56,14.9,SS+IM
6.3,0.196,9.63,-20.74,14.59,IM
9.24,0.035,6.23,5.17,12.57,SS+IM
2.8,0.225,5.16,-0.4,12.95,SS
8.23,0.114,4.18,0.29,13.01,SS
4.65,0.05,3.83,-4.81,12.71,SS
8.5,0.136,3.0,1.45,14.9,SS
6.91,0.127,6.5,-18.02,14.85,SS+IM
8.47,0.10400000000000001,3.42,0.16,14.43,SS
7.42,0.11699999999999999,5.3,-10.9,13.33,SS+IM
7.22,0.124,5.92,-7.7,13.14,SS+IM
7.42,0.126,5.89,-5.0,13.36,SS+IM
6.11,0.18100000000000002,9.11,-17.77,14.85,IM
6.14,0.138,7.3,-23.36,14.53,SS+IM
7.0,0.11699999999999999,5.87,-6.12,13.14,SS+IM
7.33,0.275,10.85,-15.78,14.9,IM
7.77,0.121,4.04,-5.25,16.0,SS+IM
7.29,0.14300000000000002,6.78,-13.8,16.18,SS+IM
7.5,0.138,4.05,-0.96,9.92,SS
6.95,0.133,4.84,-10.15,15.83,IM
7.18,0.131,5.78,-12.14,13.92,SS
7.64,0.11900000000000001,5.43,-3.9,14.7,SS+IM
8.43,0.155,3.57,-0.49,12.89,SS
6.27,0.133,6.73,-18.84,14.7,IM
7.4,0.14300000000000002,3.33,-9.12,13.38,SS+IM
7.88,0.139,3.77,-5.45,13.99,SS+IM
7.95,0.11800000000000001,4.09,-4.08,15.92,SS+IM
7.05,0.13,6.13,-19.46,12.57,SS+IM
7.77,0.115,5.17,-7.67,14.23,SS
8.0,0.111,4.37,-4.6,14.53,SS
7.17,0.152,5.63,-10.5,14.53,SS+IM
7.83,0.139,3.98,-6.05,14.17,SS+IM
7.29,0.11599999999999999,6.12,-18.87,16.18,SS
7.6,0.124,5.63,-4.0,13.38,SS+IM
8.0,0.195,4.21,-4.0,13.38,SS+IM
7.09,0.134,6.58,-15.5,15.55,SS
7.98,0.126,5.49,-6.42,15.76,SS
4.4,0.332,5.89,-6.08,13.38,SS+IM
6.86,0.12,6.37,-22.76,14.78,SS+IM
7.4,0.14800000000000002,6.94,-14.02,15.91,SS+IM
7.78,0.124,5.5,-4.91,13.3,SS+IM
7.89,0.115,5.9,-8.69,13.14,SS
8.25,0.044000000000000004,1.08,-8.75,11.53,SS
7.87,0.139,3.84,-5.65,14.06,SS+IM
6.17,0.18600000000000003,9.27,-18.67,14.9,IM
4.28,0.26,6.47,-3.3,12.31,IM
8.0,0.15,3.45,-5.5,11.53,SS
4.4,0.048,3.57,-13.44,13.38,SS
8.89,0.038,8.95,5.33,13.14,SS+IM
6.5,0.127,6.68,-15.45,12.98,IM
7.43,0.14800000000000002,5.59,-8.85,17.69,SS
7.93,0.11,4.88,-7.25,13.48,SS
6.84,0.20199999999999999,11.46,-18.31,16.0,SS+IM
7.8,0.109,5.8,-11.95,11.47,SS+IM
7.2,0.121,5.78,-12.32,13.38,IM
7.9,0.11599999999999999,5.55,-17.43,11.64,SS+IM
6.57,0.23199999999999998,13.58,-19.36,16.18,SS+IM
7.6,0.147,5.06,-4.23,14.73,SS
7.33,0.156,3.1,-15.17,14.9,SS
7.0,0.12300000000000001,6.12,-13.43,13.35,IM
7.68,0.139,5.08,-3.31,14.73,SS
7.75,0.138,6.25,-15.61,13.21,SS+IM
7.31,0.11900000000000001,5.56,-11.65,13.37,SS
7.17,0.125,6.11,-10.14,14.53,IM
6.76,0.12,6.5,-25.23,14.87,SS+IM
7.8,0.146,3.73,-4.04,12.95,SS+IM
8.36,0.122,4.82,-3.7,14.7,SS
7.82,0.139,4.01,-6.15,14.2,SS+IM
5.78,0.203,10.31,-20.91,14.35,IM
6.28,0.177,8.71,-17.54,14.83,IM
7.73,0.13699999999999998,6.26,-10.11,15.99,SS+IM
7.36,0.14800000000000002,5.68,-9.52,17.89,SS
7.5,0.149,5.5,-8.13,17.29,SS+IM
3.35,0.17300000000000001,3.91,-0.53,6.47,SS+IM
7.24,0.10300000000000001,4.28,-6.52,10.18,IM
8.12,0.10099999999999999,2.3,-5.05,12.2,SS
7.5,0.105,6.58,-20.45,14.9,SS
7.8,0.14300000000000002,3.44,-8.96,13.38,SS+IM
8.54,0.077,3.94,-6.06,10.69,SS
7.28,0.13,6.16,-15.07,14.5,SS
7.92,0.152,5.09,-10.25,14.17,SS+IM
6.06,0.192,9.67,-19.49,14.85,IM
5.96,0.168,8.6,-15.35,14.35,IM
7.84,0.126,5.6,-6.78,13.02,SS
6.6,0.196,5.95,-10.72,13.38,IM
4.4,0.11800000000000001,4.99,2.72,13.38,SS
7.91,0.125,5.34,-12.4,13.67,SS
8.11,0.11599999999999999,4.53,-0.59,13.14,SS
8.12,0.11900000000000001,4.93,-4.15,15.44,SS
6.86,0.13699999999999998,6.79,-11.11,14.53,SS+IM
8.0,0.127,5.46,-7.28,15.55,SS
6.96,0.12,6.21,-19.84,14.59,SS
7.6,0.13,6.65,-18.35,12.92,SS+IM
7.5,0.136,3.29,-7.56,14.9,SS
9.5,0.031,1.14,5.0,11.53,SS
3.69,0.309,7.7,-3.65,12.31,SS+IM
8.33,0.154,3.93,-4.44,9.13,SS
8.0,0.139,6.16,-8.44,9.13,SS+IM
8.5,0.14300000000000002,3.55,-4.0,11.53,SS
8.8,0.092,1.03,3.2,13.38,SS
8.02,0.109,3.74,-8.42,12.84,SS+IM
8.33,0.10400000000000001,5.27,-5.22,12.98,SS+IM
8.14,0.133,5.7,-6.75,14.87,SS+IM
7.37,0.11800000000000001,5.41,-11.21,13.35,SS+IM
8.9,0.135,4.89,1.8,13.92,SS+IM
7.0,0.142,7.04,-19.57,14.7,SS+IM
7.94,0.106,3.48,-6.75,12.71,SS
7.1,0.124,6.1,-14.66,14.34,SS+IM
5.71,0.205,10.38,-21.06,14.15,IM
9.37,0.033,4.61,5.09,12.2,SS+IM
7.43,0.125,4.95,-7.76,16.18,SS
9.43,0.032,3.4,5.05,11.93,SS+IM
8.13,0.10400000000000001,2.77,-6.28,12.42,SS+IM
7.11,0.153,5.76,-11.61,14.59,SS+IM
8.0,0.12300000000000001,5.32,-5.78,12.98,SS
7.44,0.099,3.2,-4.89,9.6,SS
7.29,0.11900000000000001,5.61,-11.8,13.37,SS+IM
7.61,0.12300000000000001,3.98,-6.14,15.91,SS
8.07,0.11800000000000001,5.06,-8.45,13.87,SS+IM
3.7,0.16699999999999998,3.85,-1.14,6.47,SS+IM
7.61,0.13699999999999998,3.29,-6.95,14.85,SS+IM
4.5,0.11699999999999999,7.05,-0.25,11.53,SS
8.2,0.11599999999999999,4.93,-8.39,13.48,IM
7.72,0.14,5.18,-5.64,16.18,SS+IM
7.04,0.12300000000000001,6.06,-13.23,13.36,SS+IM
7.5,0.125,5.66,-8.92,14.53,SS
7.5,0.21100000000000002,10.0,-23.9,14.9,SS+IM
7.15,0.147,5.9,-11.48,18.21,SS
7.4,0.11800000000000001,5.58,-2.56,13.38,SS+IM
7.46,0.125,5.89,-7.05,14.78,SS+IM
8.97,0.135,3.8,1.77,13.61,SS
4.9,0.22,8.04,-4.92,14.53,SS+IM
8.83,0.196,4.69,-6.11,12.98,SS
8.0,0.129,2.9,2.61,12.89,SS
7.91,0.14300000000000002,4.66,-1.92,14.7,SS
7.75,0.12300000000000001,11.67,-8.01,15.92,SS+IM
8.62,0.032,2.03,-11.83,10.69,SS
7.86,0.11900000000000001,4.07,-4.71,15.99,SS+IM
7.5,0.11800000000000001,6.24,-13.75,11.53,IM
7.53,0.124,3.95,-6.5,15.82,SS
4.75,0.051,3.93,-0.25,11.53,SS
6.96,0.233,12.17,-23.08,14.59,SS+IM
7.27,0.127,6.13,-8.08,14.65,SS+IM
7.2,0.159,7.49,-15.64,14.21,IM
8.07,0.136,3.17,-4.12,13.3,SS
8.09,0.106,3.15,-7.03,12.59,SS+IM
8.0,0.10400000000000001,0.27,-4.44,9.13,SS
7.86,0.138,3.29,-5.3,14.34,SS
8.09,0.127,2.38,-4.16,12.83,SS
9.0,0.135,3.18,1.76,13.38,SS
4.6,0.113,7.48,-1.28,11.08,SS
4.32,0.11599999999999999,4.92,-6.33,14.5,SS
5.63,0.20600000000000002,10.44,-21.13,13.86,IM
7.89,0.12,5.07,-2.14,13.31,SS
8.36,0.11599999999999999,4.49,-3.26,12.72,SS
7.92,0.11900000000000001,5.2,-8.42,14.23,SS
7.0,0.11900000000000001,5.39,-11.0,12.98,IM
6.4,0.259,10.24,-23.52,13.38,SS
7.36,0.14800000000000002,5.68,-9.52,17.89,SS
8.33,0.13,2.57,-4.84,12.66,SS
7.73,0.138,3.3,-6.21,14.7,SS+IM
4.78,0.29,6.55,-2.67,13.14,SS
6.64,0.138,5.3,-16.26,15.74,SS
6.82,0.125,6.36,-14.28,13.25,IM
8.1,0.14300000000000002,4.21,-0.27,14.43,SS
6.46,0.342,19.29,-39.66,14.78,SS+IM
6.71,0.147,6.2,-12.65,12.57,SS+IM
8.26,0.14300000000000002,3.72,-3.58,10.79,SS
8.17,0.10099999999999999,2.3,-5.47,12.21,SS+IM
7.5,0.141,5.49,-12.0,14.9,SS
7.96,0.11699999999999999,4.36,-8.9,12.83,SS+IM
7.11,0.125,5.95,-9.53,14.48,SS+IM
7.0,0.158,5.6,-10.84,14.53,IM
6.46,0.146,7.5,-23.9,14.78,SS+IM
7.0,0.14,6.34,-13.94,17.29,SS
7.8,0.10800000000000001,0.28,-4.32,11.08,SS+IM
8.25,0.147,3.32,4.5,12.97,SS
8.0,0.031,3.05,-24.96,11.47,SS+IM
6.83,0.13,6.47,-7.67,12.98,SS+IM
6.92,0.141,6.91,-12.25,14.78,SS+IM
7.83,0.163,5.17,-9.96,14.39,SS+IM
5.5,0.364,2.31,-6.5,11.53,SS
