vec,deltachi,delta,deltahmix,deltasmix,phase
6.75,0.13,6.57,-9.31,13.86,2
7.6,0.13,6.65,-18.35,12.92,2
7.4,0.11800000000000001,5.58,-2.56,13.38,2
8.89,0.038,8.95,5.33,13.14,2
7.5,0.105,6.58,-20.45,14.9,1
5.86,0.201,10.19,-20.66,14.53,0
9.37,0.033,4.61,5.09,12.2,2
6.41,0.166,7.89,-16.05,14.59,0
4.3,0.218,5.04,-16.84,14.53,1
7.11,0.153,5.76,-11.61,14.59,2
7.89,0.10800000000000001,3.76,-7.27,12.83,2
7.25,0.134,6.46,-13.42,15.86,1
7.76,0.135,3.26,-3.72,13.23,1
8.09,0.106,3.15,-7.03,12.59,2
8.23,0.114,4.18,0.29,13.01,1
8.07,0.136,3.17,-4.12,13.3,1
8.0,0.111,4.37,-4.6,14.53,1
8.33,0.109,4.05,-5.19,13.94,2
8.09,0.127,2.38,-4.16,12.83,1
7.19,0.13,4.7,-5.51,12.32,1
7.05,0.13,6.13,-19.46,12.57,2
4.34,0.107,5.3,-4.86,13.46,1
7.61,0.11199999999999999,5.24,-6.48,14.23,2
8.25,0.09699999999999999,0.3,-3.75,11.53,1
6.96,0.233,12.17,-23.08,14.59,2
4.78,0.29,6.55,-2.67,13.14,1
7.53,0.11199999999999999,3.41,-6.92,12.26,2
6.0,0.172,8.74,-16.01,14.53,0
6.9,0.165,5.93,-11.72,14.53,2
6.92,0.141,6.91,-12.25,14.78,2
9.41,0.032,3.94,5.07,12.05,2
8.25,0.125,5.85,-8.0,11.53,1
7.8,0.10800000000000001,0.28,-4.32,11.08,2
7.67,0.11800000000000001,5.33,-7.84,14.53,2
8.6,0.175,4.04,-5.6,13.38,1
7.12,0.105,4.78,-7.44,10.43,0
7.85,0.139,3.91,-5.85,14.12,2
7.79,0.122,5.29,-2.81,13.35,1
7.04,0.12300000000000001,6.06,-13.23,13.36,2
8.21,0.106,3.58,-2.82,14.27,2
7.15,0.139,5.77,-11.95,14.22,2
7.0,0.11900000000000001,5.39,-11.0,12.98,0
8.0,0.195,4.21,-4.0,13.38,2
5.5,0.364,2.31,-6.5,11.53,1
4.34,0.10300000000000001,4.84,-4.41,12.63,1
7.98,0.138,3.36,-4.38,13.54,1
6.54,0.131,6.62,-8.61,12.63,2
4.86,0.23199999999999998,7.06,-2.53,12.27,1
7.86,0.156,3.5,-4.58,13.36,2
7.33,0.275,10.85,-15.78,14.9,0
7.8,0.113,4.4,-8.93,13.44,1
7.86,0.139,3.88,-5.75,14.09,2
7.0,0.158,5.6,-10.84,14.53,0
4.6,0.228,8.68,-34.08,13.38,0
8.33,0.111,0.16,-4.89,9.13,1
8.33,0.10400000000000001,5.27,-5.22,12.98,2
7.4,0.14800000000000002,6.94,-14.02,15.91,2
7.09,0.149,7.1,-15.4,14.7,2
7.91,0.145,3.69,-4.17,11.41,1
8.47,0.10400000000000001,3.42,0.16,14.43,1
8.0,0.14,2.91,-4.34,13.14,2
7.08,0.133,6.54,-17.17,14.53,1
8.17,0.152,6.58,-17.9,14.9,1
6.11,0.18100000000000002,9.11,-17.77,14.85,0
8.12,0.10099999999999999,2.3,-5.05,12.2,1
7.94,0.106,3.48,-6.75,12.71,1
7.0,0.149,6.59,-13.28,13.38,2
6.96,0.13,6.38,-7.16,13.1,2
7.8,0.109,5.8,-11.95,11.47,2
8.5,0.14300000000000002,3.55,-4.0,11.53,1
7.95,0.11800000000000001,4.09,-4.08,15.92,2
6.95,0.133,4.84,-10.15,15.83,0
7.96,0.138,3.45,-4.6,13.66,1
8.9,0.135,4.89,1.8,13.92,2
8.63,0.135,2.7,3.25,12.97,1
7.54,0.12,5.51,-7.93,14.7,2
7.5,0.21100000000000002,10.0,-23.9,14.9,2
8.55,0.095,0.84,0.49,13.14,1
8.34,0.303,6.53,-6.45,14.9,2
7.89,0.115,5.9,-8.69,13.14,1
7.6,0.12300000000000001,5.69,-6.24,14.85,2
7.18,0.131,5.78,-12.14,13.92,1
7.86,0.138,3.29,-5.3,14.34,1
8.29,0.032,2.66,-19.43,11.24,2
8.12,0.11900000000000001,4.93,-4.15,15.44,1
7.72,0.14,5.18,-5.64,16.18,2
6.8,0.14300000000000002,5.56,-15.96,15.69,1
7.46,0.129,14.1,-11.02,16.0,0
7.96,0.11699999999999999,4.36,-8.9,12.83,2
6.64,0.138,5.3,-16.26,15.74,1
7.17,0.151,6.9,-16.67,14.9,1
4.6,0.113,7.48,-1.28,11.08,1
8.05,0.11900000000000001,5.92,-4.94,12.57,2
7.5,0.124,5.69,-3.4,13.35,2
6.86,0.12,6.37,-22.76,14.78,2
6.38,0.14,7.29,-22.71,14.78,2
7.36,0.14800000000000002,5.68,-9.52,17.89,1
4.9,0.22,8.04,-4.92,14.53,2
8.4,0.139,6.5,-11.04,13.38,1
7.6,0.139,6.46,-16.96,13.97,2
5.63,0.20600000000000002,10.44,-21.13,13.86,0
7.43,0.125,4.95,-7.76,16.18,1
4.56,0.05,3.74,-8.39,13.14,1
7.0,0.14,6.34,-13.94,17.29,1
6.71,0.147,6.2,-12.65,12.57,2
3.35,0.17300000000000001,3.91,-0.53,6.47,2
6.68,0.222,12.88,-19.0,16.16,2
7.27,0.133,6.38,-14.39,15.55,1
8.27,0.109,4.17,-1.52,14.7,1
7.92,0.152,5.09,-10.25,14.17,2
7.18,0.128,6.18,-6.21,13.25,2
7.73,0.122,5.45,-4.49,14.7,2
6.36,0.192,9.51,-18.57,14.7,0
7.24,0.10300000000000001,4.28,-6.52,10.18,0
5.92,0.165,8.47,-14.74,14.15,0
6.76,0.12,6.5,-25.23,14.87,2
7.78,0.124,5.5,-4.91,13.3,2
7.22,0.136,4.32,-10.44,15.91,0
8.02,0.109,3.74,-8.42,12.84,2
6.67,0.11900000000000001,6.61,-27.34,14.9,2
9.5,0.031,1.14,5.0,11.53,1
7.25,0.153,5.59,-11.09,14.53,2
8.67,0.163,3.73,-5.78,9.13,1
7.33,0.152,6.29,-13.45,14.9,1
6.82,0.125,6.36,-14.28,13.25,0
7.84,0.126,5.6,-6.78,13.02,1
6.84,0.128,6.46,-11.59,14.23,0
7.13,0.147,5.77,-11.78,14.43,2
7.47,0.11599999999999999,5.18,-10.58,13.31,2
7.7,0.12,5.38,-11.94,12.91,2
7.91,0.139,3.66,-5.14,13.88,2
7.82,0.139,4.01,-6.15,14.2,2
7.6,0.124,5.63,-4.0,13.38,2
7.67,0.113,4.6,-9.08,13.14,1
7.43,0.14800000000000002,5.59,-8.85,17.69,1
3.8,0.163,10.95,-14.88,13.38,0
7.8,0.11,4.12,-7.99,12.97,1
7.53,0.124,3.95,-6.5,15.82,1
7.08,0.19,9.67,-18.14,14.22,2
7.91,0.125,5.34,-12.4,13.67,1
7.09,0.159,5.76,-11.44,14.7,2
8.06,0.129,4.94,-10.65,13.38,1
8.83,0.196,4.69,-6.11,12.98,1
7.23,0.146,5.51,-9.7,14.23,2
7.69,0.12300000000000001,5.47,-3.43,13.37,2
6.67,0.308,16.85,-33.9,14.9,2
4.5,0.11699999999999999,7.05,-0.25,11.53,1
8.54,0.077,3.94,-6.06,10.69,1
8.25,0.147,3.32,4.5,12.97,1
7.14,0.16,8.01,-15.35,13.92,2
7.11,0.125,5.95,-9.53,14.48,2
4.2,0.081,3.48,-15.12,12.51,1
7.97,0.138,3.41,-4.5,13.61,1
4.4,0.048,3.57,-13.44,13.38,1
6.67,0.172,6.11,-11.85,13.14,2
6.62,0.188,6.02,-11.14,13.35,0
7.02,0.213,11.02,-20.71,14.43,2
7.23,0.131,6.36,-16.42,14.23,1
6.06,0.192,9.67,-19.49,14.85,0
8.4,0.10300000000000001,3.25,-0.71,14.32,1
7.93,0.11,4.88,-7.25,13.48,1
8.33,0.154,3.93,-4.44,9.13,1
7.14,0.128,6.26,-8.65,14.53,2
8.0,0.138,3.27,-4.16,13.38,1
7.95,0.11199999999999999,4.21,-9.69,13.03,2
8.5,0.146,3.38,4.69,12.97,1
6.6,0.266,10.34,-27.36,13.38,1
7.77,0.115,5.17,-7.67,14.23,1
6.72,0.131,6.57,-10.28,14.0,0
7.46,0.125,5.89,-7.05,14.78,2
6.28,0.177,8.71,-17.54,14.83,0
8.0,0.129,2.9,2.61,12.89,1
7.28,0.13,6.16,-15.07,14.5,1
7.73,0.13699999999999998,6.26,-10.11,15.99,2
7.47,0.127,6.05,-15.04,13.48,1
6.62,0.126,6.58,-15.05,13.1,2
7.16,0.122,5.92,-13.32,13.92,2
8.09,0.122,4.89,-10.74,12.86,1
8.0,0.15,3.45,-5.5,11.53,1
8.92,0.135,4.61,1.79,13.84,2
8.48,0.10800000000000001,3.21,2.31,12.57,1
8.06,0.115,1.91,-4.07,12.63,1
7.2,0.121,5.78,-12.32,13.38,0
4.28,0.26,6.47,-3.3,12.31,0
8.11,0.142,3.37,0.1,13.14,1
7.84,0.11900000000000001,3.9,-7.26,13.44,1
7.77,0.133,5.3,-4.48,15.6,1
5.96,0.168,8.6,-15.35,14.35,0
8.09,0.115,7.79,-4.0,15.44,2
4.75,0.051,3.93,-0.25,11.53,1
7.91,0.14300000000000002,4.66,-1.92,14.7,1
7.44,0.099,3.2,-4.89,9.6,1
7.38,0.121,5.64,-9.94,14.34,1
4.4,0.332,5.89,-6.08,13.38,2
8.17,0.10099999999999999,2.3,-5.47,12.21,2
8.62,0.032,2.03,-11.83,10.69,1
8.97,0.135,3.8,1.77,13.61,1
7.61,0.12300000000000001,3.98,-6.14,15.91,1
6.97,0.13,6.4,-9.38,14.35,2
4.25,0.13,4.87,2.5,11.53,1
8.43,0.155,3.57,-0.49,12.89,1
3.0,0.055999999999999994,1.37,0.0,13.38,1
6.71,0.131,6.55,-8.1,12.84,2
5.4,0.34299999999999997,3.15,-4.64,13.38,1
7.33,0.156,3.1,-15.17,14.9,1
7.42,0.11699999999999999,5.3,-10.9,13.33,2
8.11,0.11599999999999999,4.53,-0.59,13.14,1
4.79,0.282,6.73,-2.7,13.33,1
7.02,0.165,5.85,-12.32,14.61,0
9.0,0.033,0.33,-1.33,9.13,1
7.13,0.154,7.31,-16.61,15.6,2
7.92,0.139,3.62,-5.03,13.84,1
8.36,0.122,4.82,-3.7,14.7,1
7.22,0.152,7.21,-15.86,15.72,2
8.34,0.129,6.59,2.0,14.9,2
8.2,0.11599999999999999,4.93,-8.39,13.48,0
3.84,0.267,5.68,-3.89,12.31,2
7.5,0.138,4.05,-0.96,9.92,1
8.43,0.09699999999999999,4.97,-4.98,12.27,1
7.5,0.11800000000000001,6.24,-13.75,11.53,0
6.23,0.127,6.84,-16.09,12.63,0
6.27,0.133,6.73,-18.84,14.7,0
4.4,0.11800000000000001,4.99,2.72,13.38,1
4.32,0.11599999999999999,4.92,-6.33,14.5,1
7.0,0.142,7.04,-19.57,14.7,2
7.0,0.12300000000000001,6.12,-13.43,13.35,0
8.13,0.10400000000000001,2.77,-6.28,12.42,2
7.51,0.145,6.76,-12.89,15.97,2
8.36,0.11599999999999999,4.49,-3.26,12.72,1
7.39,0.12300000000000001,5.76,-2.68,13.24,2
4.65,0.05,3.83,-4.81,12.71,1
6.0,0.127,6.92,-16.41,12.27,0
7.1,0.124,6.1,-14.66,14.34,2
6.17,0.18600000000000003,9.27,-18.67,14.9,0
8.0,0.11599999999999999,4.92,-3.61,14.87,1
6.86,0.13699999999999998,6.79,-11.11,14.53,2
4.76,0.298,6.32,-2.6,12.71,1
6.46,0.125,6.03,-11.29,12.94,1
6.23,0.191,9.45,-19.64,14.83,0
6.2,0.248,10.43,-15.84,13.38,1
7.87,0.139,3.84,-5.65,14.06,2
6.91,0.127,6.5,-18.02,14.85,2
7.31,0.15,7.09,-15.0,15.82,2
7.4,0.124,3.89,-7.08,15.6,1
7.67,0.05,0.78,-12.44,9.13,1
6.0,0.18,9.04,-18.5,14.78,0
7.85,0.132,5.92,-8.4,15.92,1
7.7,0.11900000000000001,5.7,-8.32,14.53,2
6.84,0.20199999999999999,11.46,-18.31,16.0,2
5.73,0.17,8.6,-17.81,14.21,0
8.14,0.133,5.7,-6.75,14.87,2
7.31,0.11900000000000001,5.56,-11.65,13.37,1
5.71,0.205,10.38,-21.06,14.15,0
7.31,0.12,5.18,-7.19,14.23,2
9.43,0.032,3.4,5.05,11.93,2
7.29,0.11900000000000001,5.61,-11.8,13.37,2
8.17,0.133,3.06,-4.07,13.3,1
7.77,0.121,4.04,-5.25,16.0,2
8.07,0.11800000000000001,5.06,-8.45,13.87,2
9.0,0.135,3.18,1.76,13.38,1
7.27,0.127,6.13,-8.08,14.65,2
7.88,0.139,3.77,-5.45,13.99,2
7.44,0.131,5.81,-10.17,13.14,2
7.8,0.146,3.73,-4.04,12.95,2
8.14,0.09699999999999999,5.12,-9.47,11.24,2
8.05,0.115,4.12,-3.34,15.76,1
7.2,0.159,7.49,-15.64,14.21,0
8.0,0.139,6.12,-8.45,14.9,2
6.6,0.196,5.95,-10.72,13.38,0
7.83,0.163,5.17,-9.96,14.39,2
7.37,0.11800000000000001,5.41,-11.21,13.35,2
9.44,0.032,3.1,5.04,11.87,2
6.63,0.131,6.61,-10.56,13.86,0
7.22,0.124,5.92,-7.7,13.14,2
6.0,0.205,11.5,-24.9,14.9,0
6.46,0.342,19.29,-39.66,14.78,2
7.73,0.111,4.38,-8.58,13.07,2
7.0,0.11800000000000001,6.36,-22.57,16.0,1
6.75,0.122,6.26,-13.25,11.53,2
8.0,0.127,5.46,-7.28,15.55,1
7.47,0.124,3.92,-6.81,15.72,1
7.64,0.11900000000000001,5.43,-3.9,14.7,2
7.38,0.14800000000000002,5.44,-10.69,14.23,2
7.69,0.124,5.56,-4.5,13.36,2
4.75,0.124,8.78,-5.0,11.53,2
8.6,0.10400000000000001,2.2,-2.24,13.38,1
7.5,0.14300000000000002,5.39,-5.11,14.9,1
6.57,0.23199999999999998,13.58,-19.36,16.18,2
5.86,0.175,8.81,-18.21,14.53,0
5.88,0.161,8.29,-14.0,13.86,0
8.33,0.13,2.57,-4.84,12.66,1
7.61,0.141,6.54,-11.59,16.0,2
7.42,0.12,5.34,-7.56,14.53,1
8.0,0.10800000000000001,4.75,-7.03,13.09,1
4.8,0.275,6.85,-2.72,13.38,1
7.29,0.11599999999999999,6.12,-18.87,16.18,1
4.8,0.275,6.85,-2.72,13.38,1
8.44,0.11800000000000001,2.59,-3.51,12.66,1
7.76,0.139,4.2,-6.71,14.34,2
7.92,0.14300000000000002,4.96,-1.74,14.73,1
6.14,0.138,7.3,-23.36,14.53,2
8.81,0.135,6.03,1.83,14.22,2
7.17,0.152,5.63,-10.5,14.53,2
7.0,0.126,6.33,-16.53,14.7,2
6.83,0.13,6.47,-7.67,12.98,2
7.4,0.14300000000000002,3.33,-9.12,13.38,2
6.06,0.177,8.95,-16.97,14.74,0
6.87,0.13,6.48,-9.77,14.21,2
8.0,0.12300000000000001,5.32,-5.78,12.98,1
8.0,0.10400000000000001,0.27,-4.44,9.13,1
7.89,0.139,3.73,-5.35,13.96,2
6.46,0.146,7.5,-23.9,14.78,2
7.73,0.138,3.3,-6.21,14.7,2
4.82,0.262,7.01,-2.71,13.25,1
7.86,0.11900000000000001,4.07,-4.71,15.99,2
9.24,0.035,6.23,5.17,12.57,2
7.5,0.125,5.66,-8.92,14.53,1
8.16,0.113,4.15,-2.5,15.44,1
7.6,0.11699999999999999,5.17,-8.47,14.32,1
7.9,0.11599999999999999,5.55,-17.43,11.64,2
